record number,reference number,literature type,reference,one sentence summary,score,country,region1,region2,site,habitat,habitat1,habitat2,habitat3,habitat4,lon (decimal degrees),lat (decimal degrees),start year,end year,number of sites / study plots,site description,site detail,number of subsites,subsite detail,type of study,species,assemblage,agri-environment,basic agri-environment,targeted agri-environment (wader-specific or higher level),site protection - nature reserve,site protection - designation,mowing,grazing,fertilizer,herbicides / pesticides,nest protection - agricultural activities,nest protection - predation (enclosures or exclosures),ground water management (drainage inhibited),wet features / surface water management,openness of landscape,predator control,other mgmt,other management type (provide description),management notes,overall metric,standardized metric,standardisation calculation,specific metric,specific metric details,reference metric before management,metric after management,log(effect size),effect size (where reported),stand. reference metric before management,stand. metric after management,stand. effect size,unit of analysis,unit of analysis detail,sample size,analysis type 1,analysis type 2,analysis type details,significant effect (Y/N /U),direction of effect (positive / negative / none),values obtained from plot?,values in plots not extracted,related records,comments
1,52,primary,"Sheldon, R., Bolton, M., Gillings, S. & Wilson, A. (2004) Conservation management of Lapwing Vanellus vanellus on lowland arable farmland in the UK. Ibis, 146, 41–49.","Literature review of lapwing conservation management, but includes preliminary results from RSPB Lapwing Dorset recovery project showing that lapwing abundance change is positive over 4 years on farmland sites managed for lapwing specifically",medium,United Kingdom,England,Dorset,,arable,farmland,arable,,,,,2000,2003,23,sites,,,,experimental,lapwing,N,applied site scale,,applied site scale,,,,,,,,,,,,,,,lapwing targeted management,abundance change,,,change in number of breeding pairs 2000-2003,,-1.489661635,1.787673087,#NUM!,2.20,,,,field/plot/site,,small (< 30),frequentist,multivariate,GLM,Y,positive,Y,,,preliminary results from lapwing Dorset Recovery Project RSPB
1,53,primary,"Sheldon, R.D., Chaney, K. & Tyler, G.A. (2007) Factors affecting nest survival of Northern Lapwings Vanellus vanellus in arable farmland: an agri-environment scheme prescription can enhance nest survival. Bird Study, 54, 168–175.",Lapwing nest survival managed under AE option 1B (winter stubble followed by spring/summer fallow) was higher than on conventionally managed fields. Main causes of nest loss were predation and agricultural activities.,medium,United Kingdom,England,"Shropshire, Staffordshire",,arable,farmland,arable,,,,,1999,2000,28,farms,,,,semi-experimental,lapwing,N,applied site scale,,applied site scale,,,,,,,,,,,,,fallow/set-aside,"overwinter cereal stubble, spring/summer fallow (tillage reduced)",lapwing targeted management,productivity (nest level),nest survival (Mayfield),,nest survival,Mayfield,0.402,0.761,0.335045816,0.89,0.402,0.761,0.89,individual,nests,large (100-1000),frequentist,multivariate,GLM,Y,positive,,,,"Table 4, reference level is mean of all other crop types compared to management metric, which is Option 1B"
2,53,primary,"Sheldon, R.D., Chaney, K. & Tyler, G.A. (2007) Factors affecting nest survival of Northern Lapwings Vanellus vanellus in arable farmland: an agri-environment scheme prescription can enhance nest survival. Bird Study, 54, 168–175.",Lapwing nest survival managed under AE option 1B (winter stubble followed by spring/summer fallow) was higher than on conventionally managed fields. Main causes of nest loss were predation and agricultural activities.,medium,United Kingdom,England,"Shropshire, Staffordshire",,arable,farmland,arable,,,,,1999,2000,28,farms,,,,semi-experimental,lapwing,N,applied site scale,,applied site scale,,,,,,,,,,,,,fallow/set-aside,"overwinter cereal stubble, spring/summer fallow (tillage reduced)",lapwing targeted management,productivity (nest level),nest survival (Mayfield),,nest survival,Mayfield,0.418,0.719,0.283588739,0.72,0.418,0.719,0.72,field/plot/site,fields,medium (30-100),frequentist,multivariate,GLM,Y,positive,,,,"Table 4, reference level is mean of all other crop types compared to management metric, which is Option 1B"
1,54,primary,"Smart, J., Gill, J.A., Sutherland, W.J. & Watkinson, A.R. (2006) Grassland-breeding waders: identifying key habitat requirements for management. Journal of Applied Ecology, 43, 454–463.","Redshank breeding occupancy was positively influenced by length of pool edge. Density was positively related to all wet features. No effect of grazing on occupancy, density or nest survival. No effect of wet features on nest survival.",medium,United Kingdom,England,Norfolk,3 North Norfolk coast marshes,mixed pastoral/unenclosed,natural/semi-natural grassland,"wet coastal meadow, lowland wet grassland, saltmarsh",,,,,2003,2003,48,fields,,,,correlative,redshank,N,,,,,,,,,,,,restricted site scale,applied site scale,,,,,amount of pool edge,occupancy,,,probability of field occupancy,,,,,,,,,field/plot/site,fields,small (< 30),frequentist,multivariate,GLM,Y,positive,,,,"management variable is amount of pool edge; other wet feature variables (total wet feature length, surface wetness, water cover, bare wet ground cover, linear wet feature length) had no significant effect"
2,54,primary,"Smart, J., Gill, J.A., Sutherland, W.J. & Watkinson, A.R. (2006) Grassland-breeding waders: identifying key habitat requirements for management. Journal of Applied Ecology, 43, 454–463.","Redshank breeding occupancy was positively influenced by length of pool edge. Density was positively related to all wet features. No effect of grazing on occupancy, density or nest survival. No effect of wet features on nest survival.",medium,United Kingdom,England,Norfolk,3 North Norfolk coast marshes,mixed pastoral/unenclosed,natural/semi-natural grassland,"wet coastal meadow, lowland wet grassland, saltmarsh",,,,,2003,2003,48,fields,,,,correlative,redshank,N,,,,,,,applied site scale,,,,,,,,,,,grazing intensity,occupancy,,,probability of field occupancy,,,,,,,,,field/plot/site,fields,small (< 30),frequentist,multivariate,GLM,N,none,,,,
3,54,primary,"Smart, J., Gill, J.A., Sutherland, W.J. & Watkinson, A.R. (2006) Grassland-breeding waders: identifying key habitat requirements for management. Journal of Applied Ecology, 43, 454–463.","Redshank breeding occupancy was positively influenced by length of pool edge. Density was positively related to all wet features. No effect of grazing on occupancy, density or nest survival. No effect of wet features on nest survival.",medium,United Kingdom,England,Norfolk,3 North Norfolk coast marshes,mixed pastoral/unenclosed,natural/semi-natural grassland,"wet coastal meadow, lowland wet grassland, saltmarsh",,,,,2003,2003,48,fields,,,,correlative,redshank,N,,,,,,,,,,,,restricted site scale,applied site scale,,,,,principal component all surface water variables,abundance,,,breeding density (pairs/ha),,,,,,,,,field/plot/site,fields,small (< 30),frequentist,multivariate,"PCA, GLM",Y,positive,,,,strong positive influence of principal component describing amount of surface water (which is strongly correlated with total wet feature length)
4,54,primary,"Smart, J., Gill, J.A., Sutherland, W.J. & Watkinson, A.R. (2006) Grassland-breeding waders: identifying key habitat requirements for management. Journal of Applied Ecology, 43, 454–463.","Redshank breeding occupancy was positively influenced by length of pool edge. Density was positively related to all wet features. No effect of grazing on occupancy, density or nest survival. No effect of wet features on nest survival.",medium,United Kingdom,England,Norfolk,3 North Norfolk coast marshes,mixed pastoral/unenclosed,natural/semi-natural grassland,"wet coastal meadow, lowland wet grassland, saltmarsh",,,,,2003,2003,48,fields,,,,correlative,redshank,N,,,,,,,applied site scale,,,,,,,,,,,,abundance,,,breeding density (pairs/ha),,,,,,,,,field/plot/site,fields,small (< 30),frequentist,multivariate,"PCA, GLM",N,none,,,,vegetation principal component (which grazing did not load strongly on) had no effect on density
5,54,primary,"Smart, J., Gill, J.A., Sutherland, W.J. & Watkinson, A.R. (2006) Grassland-breeding waders: identifying key habitat requirements for management. Journal of Applied Ecology, 43, 454–463.","Redshank breeding occupancy was positively influenced by length of pool edge. Density was positively related to all wet features. No effect of grazing on occupancy, density or nest survival. No effect of wet features on nest survival.",medium,United Kingdom,England,Norfolk,3 North Norfolk coast marshes,mixed pastoral/unenclosed,natural/semi-natural grassland,"wet coastal meadow, lowland wet grassland, saltmarsh",,,,,2003,2003,48,fields,,,,correlative,redshank,N,,,,,,,,,,,,restricted site scale,applied site scale,,,,,,productivity (nest level),,,daily survival rate,,,,,,,,,individual,nests,medium (30-100),frequentist,multivariate,GLM,N,no data,,,,no explicit results for predictor variables other than significant one which is soil penetrability
6,54,primary,"Smart, J., Gill, J.A., Sutherland, W.J. & Watkinson, A.R. (2006) Grassland-breeding waders: identifying key habitat requirements for management. Journal of Applied Ecology, 43, 454–463.","Redshank breeding occupancy was positively influenced by length of pool edge. Density was positively related to all wet features. No effect of grazing on occupancy, density or nest survival. No effect of wet features on nest survival.",medium,United Kingdom,England,Norfolk,3 North Norfolk coast marshes,mixed pastoral/unenclosed,natural/semi-natural grassland,"wet coastal meadow, lowland wet grassland, saltmarsh",,,,,2003,2003,48,fields,,,,correlative,redshank,N,,,,,,,applied site scale,,,,,,,,,,,,productivity (nest level),,,daily survival rate,,,,,,,,,individual,nests,medium (30-100),frequentist,multivariate,GLM,N,no data,,,,no explicit results for predictor variables other than significant one which is soil penetrability
1,55,primary,"Smart, J., Bolton, M., Hunter, F., Quayle, H., Thomas, G. & Gregory, R.D. (2013) Managing uplands for biodiversity: Do agri-environment schemes deliver benefits for breeding lapwing Vanellus vanellus? Journal of Applied Ecology, 50, 794–804.","Lapwing breeding densities and productivity (particularly in later years) were higher on AES land, but population trends did not different between AES and non-AES land. Management options in England and Wales were ranked according to delivering densities and productivity - best options were in England on land benefitting from specific management advice or with grazing AES options (results for grazing options density and productivity values compared to non-AE options extracted)",medium,United Kingdom,"England, Wales and Northern Ireland",,,pastoral,upland,"upland grassland, improved grassland",,,,,2006,2010,155,sites,small (0-10 kmsq),1679,fields,correlative,lapwing,N,applied site scale,,applied site scale,,,,,,,,,,,,,,,,abundance,number of pairs/100ha,calculated by *100,breeding density (pairs/ha),,0.06,0.08,0.03509132,0.33,6.00,8.00,0.33,field/plot/site,,large (100-1000),frequentist,multivariate,GLMM,Y,positive,,,,
2,55,primary,"Smart, J., Bolton, M., Hunter, F., Quayle, H., Thomas, G. & Gregory, R.D. (2013) Managing uplands for biodiversity: Do agri-environment schemes deliver benefits for breeding lapwing Vanellus vanellus? Journal of Applied Ecology, 50, 794–804.","Lapwing breeding densities and productivity (particularly in later years) were higher on AES land, but population trends did not different between AES and non-AES land. Management options in England and Wales were ranked according to delivering densities and productivity - best options were in England on land benefitting from specific management advice or with grazing AES options (results for grazing options density and productivity values compared to non-AE options extracted)",medium,United Kingdom,"England, Wales and Northern Ireland",,,pastoral,upland,"upland grassland, improved grassland",,,,,2006,2010,155,sites,small (0-10 kmsq),1679,fields,correlative,lapwing,N,applied site scale,,applied site scale,,,,,,,,,,,,,,,,abundance change,,,,,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,GLMM,N,none,,,,
3,55,primary,"Smart, J., Bolton, M., Hunter, F., Quayle, H., Thomas, G. & Gregory, R.D. (2013) Managing uplands for biodiversity: Do agri-environment schemes deliver benefits for breeding lapwing Vanellus vanellus? Journal of Applied Ecology, 50, 794–804.","Lapwing breeding densities and productivity (particularly in later years) were higher on AES land, but population trends did not different between AES and non-AES land. Management options in England and Wales were ranked according to delivering densities and productivity - best options were in England on land benefitting from specific management advice or with grazing AES options (results for grazing options density and productivity values compared to non-AE options extracted)",medium,United Kingdom,"England, Wales and Northern Ireland",,,pastoral,upland,"upland grassland, improved grassland",,,,,2006,2010,155,sites,small (0-10 kmsq),1679,fields,correlative,lapwing,N,applied site scale,,applied site scale,,,,,,,,,,,,,,,,productivity (nest + chick),fledglings per breeding pair,,fledglings per breeding pair,fledged chicks / total number of pairs in field,0.17,0.34,0.23,1.02,0.17,0.34,1.02,field/plot/site,,large (100-1000),frequentist,multivariate,GLMM,Y,positive,Y,,,"differences in productivity only significant in 2 out of 4 years (2009 and 2010), but metrics I have extracted are means across all years"
4,55,primary,"Smart, J., Bolton, M., Hunter, F., Quayle, H., Thomas, G. & Gregory, R.D. (2013) Managing uplands for biodiversity: Do agri-environment schemes deliver benefits for breeding lapwing Vanellus vanellus? Journal of Applied Ecology, 50, 794–804.","Lapwing breeding densities and productivity (particularly in later years) were higher on AES land, but population trends did not different between AES and non-AES land. Management options in England and Wales were ranked according to delivering densities and productivity - best options were in England on land benefitting from specific management advice or with grazing AES options (results for grazing options density and productivity values compared to non-AE options extracted)",medium,United Kingdom,"England, Wales and Northern Ireland",,,pastoral,upland,"upland grassland, improved grassland",,,,,2006,2010,155,sites,small (0-10 kmsq),1679,fields,correlative,lapwing,N,applied site scale,,applied site scale,,,,applied site scale,,,,,,,,,,,rough grazing and grazed pasture management options,abundance,number of pairs/100ha,calculated by *100,breeding density (pairs/ha),,0.159692,0.1925717,0.048638711,0.21,15.97,19.26,0.21,field/plot/site,,large (100-1000),frequentist,multivariate,"GLMM, Kruskal-Wallis ranking",Y,positive,Y,,,average of grazing options compared to non-AE England
5,55,primary,"Smart, J., Bolton, M., Hunter, F., Quayle, H., Thomas, G. & Gregory, R.D. (2013) Managing uplands for biodiversity: Do agri-environment schemes deliver benefits for breeding lapwing Vanellus vanellus? Journal of Applied Ecology, 50, 794–804.","Lapwing breeding densities and productivity (particularly in later years) were higher on AES land, but population trends did not different between AES and non-AES land. Management options in England and Wales were ranked according to delivering densities and productivity - best options were in England on land benefitting from specific management advice or with grazing AES options (results for grazing options density and productivity values compared to non-AE options extracted)",medium,United Kingdom,"England, Wales and Northern Ireland",,,pastoral,upland,"upland grassland, improved grassland",,,,,2006,2010,155,sites,small (0-10 kmsq),1679,fields,correlative,lapwing,N,applied site scale,,applied site scale,,,,applied site scale,,,,,,,,,,,rough grazing and grazed pasture management options,productivity (nest + chick),fledglings per breeding pair,,fledglings per breeding pair (offset by site pairs),,0.02,0.03,0.013478143,0.38,0.02,0.03,0.38,field/plot/site,,large (100-1000),frequentist,multivariate,"GLMM, Kruskal-Wallis ranking",Y,positive,Y,,,average of grazing options compared to non-AE England
1,56,primary,"Stevens, D.K. & Bradbury, R.B. (2006) Effects of the Arable Stewardship Pilot Scheme on breeding birds at field and farm-scales. Agriculture Ecosystems & Environment, 112, 283–290.","No significant effect of AES on change in abundance over time for lapwing in either region, but direction of effect was positive in W Midlands and negative in E Anglia. Selection probabilities of different options were quite low for lapwing, with crop type (not included as extracted data here) having greatest effect.",medium,United Kingdom,England,"East Anglia, West Midlands",,arable,farmland,arable,,,,,1998,2003,84,farms,,,,semi-experimental,lapwing,N,applied site scale,,,,,,,,restricted site scale,,,,,,,,,,occupancy,,,presence/absence,,,,,,,,,field/plot/site,fields,large (100-1000),model selection,multivariate,AIC,U,positive,,,,model selection looking at selection probabilities (i.e. parameter likelihoods) of different AE options; no effect sizes given
2,56,primary,"Stevens, D.K. & Bradbury, R.B. (2006) Effects of the Arable Stewardship Pilot Scheme on breeding birds at field and farm-scales. Agriculture Ecosystems & Environment, 112, 283–290.","No significant effect of AES on change in abundance over time for lapwing in either region, but direction of effect was positive in W Midlands and negative in E Anglia. Selection probabilities of different options were quite low for lapwing, with crop type (not included as extracted data here) having greatest effect.",medium,United Kingdom,England,"East Anglia, West Midlands",,arable,farmland,arable,,,,,1998,2003,84,farms,,,,semi-experimental,lapwing,N,applied site scale,,,,,,,,,,,,,,,seed-provision,seed-provision,,occupancy,,,presence/absence,,,,,,,,,field/plot/site,fields,large (100-1000),model selection,multivariate,AIC,U,positive,,,,model selection looking at selection probabilities (i.e. parameter likelihoods) of different AE options; no effect sizes given
3,56,primary,"Stevens, D.K. & Bradbury, R.B. (2006) Effects of the Arable Stewardship Pilot Scheme on breeding birds at field and farm-scales. Agriculture Ecosystems & Environment, 112, 283–290.","No significant effect of AES on change in abundance over time for lapwing in either region, but direction of effect was positive in W Midlands and negative in E Anglia. Selection probabilities of different options were quite low for lapwing, with crop type (not included as extracted data here) having greatest effect.",medium,United Kingdom,England,"East Anglia, West Midlands",,arable,farmland,arable,,,,,1998,2003,84,farms,,,,semi-experimental,lapwing,N,applied site scale,,,,,,,,,,,,,,,refuge/grass margins,grass margin provided,,occupancy,,,presence/absence,,,,,,,,,field/plot/site,fields,large (100-1000),model selection,multivariate,AIC,U,negative,,,,model selection looking at selection probabilities (i.e. parameter likelihoods) of different AE options; no effect sizes given
4,56,primary,"Stevens, D.K. & Bradbury, R.B. (2006) Effects of the Arable Stewardship Pilot Scheme on breeding birds at field and farm-scales. Agriculture Ecosystems & Environment, 112, 283–290.","No significant effect of AES on change in abundance over time for lapwing in either region, but direction of effect was positive in W Midlands and negative in E Anglia. Selection probabilities of different options were quite low for lapwing, with crop type (not included as extracted data here) having greatest effect.",medium,United Kingdom,England,"East Anglia, West Midlands",,arable,farmland,arable,,,,,1998,2003,84,farms,,,,semi-experimental,lapwing,N,applied site scale,,,,,,,,,,,,,,,refuge/grass margins,uncropped wildlife strip,,occupancy,,,presence/absence,,,,,,,,,field/plot/site,fields,large (100-1000),model selection,multivariate,AIC,U,negative,,,,model selection looking at selection probabilities (i.e. parameter likelihoods) of different AE options; no effect sizes given
5,56,primary,"Stevens, D.K. & Bradbury, R.B. (2006) Effects of the Arable Stewardship Pilot Scheme on breeding birds at field and farm-scales. Agriculture Ecosystems & Environment, 112, 283–290.","No significant effect of AES on change in abundance over time for lapwing in either region, but direction of effect was positive in W Midlands and negative in E Anglia. Selection probabilities of different options were quite low for lapwing, with crop type (not included as extracted data here) having greatest effect.",medium,United Kingdom,England,"East Anglia, West Midlands",,arable,farmland,arable,,,,,1998,2003,84,farms,,,,semi-experimental,lapwing,N,applied site scale,,,,,,,,,,,,,,,,,,abundance change,,,between year change in maximum count,,,,,,,,,field/plot/site,farms,medium (30-100),frequentist,multivariate,GLM,N,none,,,,"positive scheme effect in West Midlands, negative scheme effect (all NS) in East Anglia"
1,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,oystercatcher,Y,applied site scale,,,,,restricted site scale,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,4.54,5.49,0.17267568,0.21,45.40,54.90,0.21,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
2,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,black-tailed godwit,Y,applied site scale,,,,,restricted site scale,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,13.75,17.35,0.225398185,0.26,137.50,173.53,0.26,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
3,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,redshank,Y,applied site scale,,,,,restricted site scale,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,2.81,5.03,0.511725208,0.79,28.13,50.26,0.79,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,positive,Y,,,
4,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,lapwing,Y,applied site scale,,,,,restricted site scale,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,14.55,15.56,0.065164847,0.07,145.49,155.62,0.07,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
5,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,oystercatcher,Y,applied site scale,,,,,restricted site scale,,,,,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,4.37,2.03,-0.653432008,-0.53,43.65,20.31,-0.53,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,negative,Y,,,
6,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,black-tailed godwit,Y,applied site scale,,,,,restricted site scale,,,,,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,11.36,17.37,0.409422861,0.53,113.64,173.67,0.53,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
7,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,redshank,Y,applied site scale,,,,,restricted site scale,,,,,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,5.35,6.75,0.213421977,0.26,53.53,67.46,0.26,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
8,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,lapwing,Y,applied site scale,,,,,restricted site scale,,,,,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,17.85,12.61,-0.336239117,-0.29,178.47,126.08,-0.29,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,negative,Y,,,
9,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,oystercatcher,Y,applied site scale,,,,,,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,4.42,6.00,0.278702583,0.36,44.21,60.03,0.36,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
10,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,black-tailed godwit,Y,applied site scale,,,,,,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,14.14,16.92,0.174008923,0.20,141.36,169.18,0.20,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,positive,Y,,,
11,57,primary,"Verhulst, J. et al. 2007. Direct and indirect effects of the most widely implemented Dutch agri-environment schemes on breeding waders. - Journal of Applied Ecology 44: 70–80.","More redshank were observed on plots with both postponed mowing and per-clutch payments, and on plots with only per-clutch payments (i.e. nest protection). More lapwing were found on conventionally managed plots than plots with postponed mowing. No significant effects for any other species. No effect of any AES management option on territory density. Including soil moisture and groundwater depth in models removed any effects of AES on numbers observed for all species.",medium,Netherlands,,,"Eempolders, Alblasserwaard/Vijfheerenlanden, west of Utrecht",pastoral,"natural/semi-natural grassland, farmland",lowland wet grassland,,,,,2004,2004,38,paired plots,small (0-10 kmsq),,,experimental,redshank,Y,applied site scale,,,,,,,,,applied site scale,,,,,,,,,abundance,number of individuals /100ha,calculated by *10,breeding density (birds/10ha),,2.38,4.84,0.618877345,1.04,23.78,48.44,1.04,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,positive,Y,,,
